Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche
304,3.526461971,1.903893581,1.049392183,0.573176206,54,29.8,16.3,60
305,3.537786637,1.909198008,1.054103544,0.574485085,54,29.8,16.2,60
306,3.583837945,1.9536725,1.055882775,0.574282671,54.5,29.5,16,60
307,3.595463479,1.959157018,1.060698651,0.575607811,54.5,29.5,16,60
308,3.595463479,1.959157018,1.060698651,0.575607811,54.5,29.5,16,60
309,3.642092558,2.003931193,1.062663212,0.575498152,55,29.2,15.8,60
310,3.72322859,2.045240489,1.098698776,0.579289325,54.9,29.5,15.6,60
311,3.765111151,2.086986548,1.099602853,0.57852175,55.4,29.2,15.4,60
312,3.831120279,2.12538465,1.127537286,0.578198344,55.5,29.4,15.1,60
313,3.864123154,2.15951351,1.130127108,0.574482536,55.9,29.2,14.9,60
314,3.869912408,2.166133408,1.128501103,0.575277897,56,29.2,14.9,60
315,3.907579295,2.202954361,1.130376044,0.57424889,56.4,28.9,14.7,60
316,3.909380098,2.204889812,1.130147777,0.574342509,56.4,28.9,14.7,60
317,3.909380098,2.204889812,1.130147777,0.574342509,56.4,28.9,14.7,60
318,3.934103218,2.228625765,1.13306428,0.572413172,56.6,28.8,14.6,60
319,3.937302004,2.22991165,1.133990292,0.573400062,56.6,28.8,14.6,60
320,3.96756099,2.258924081,1.137561107,0.571075802,56.9,28.7,14.4,60
321,3.96756099,2.258924081,1.137561107,0.571075802,56.9,28.7,14.4,60
322,4.008679795,2.29879704,1.140454839,0.569427916,57.3,28.4,14.2,60
323,4.008679795,2.29879704,1.140454839,0.569427916,57.3,28.4,14.2,60
324,4.109490033,2.393783315,1.143938871,0.571767847,58.3,27.8,13.9,60
325,4.109490033,2.393783315,1.143938871,0.571767847,58.3,27.8,13.9,60
326,4.109490033,2.393783315,1.143938871,0.571767847,58.3,27.8,13.9,60
327,4.147639949,2.430270378,1.145126205,0.572243366,58.6,27.6,13.8,60
328,4.141084778,2.427196065,1.150987499,0.562901214,58.6,27.8,13.6,60
329,4.192375782,2.477030559,1.151629977,0.563715246,59.1,27.5,13.4,60
330,4.192375782,2.477030559,1.151629977,0.563715246,59.1,27.5,13.4,60
331,4.260498095,2.541653563,1.155710423,0.563134109,59.7,27.1,13.2,60
332,4.260498095,2.541653563,1.155710423,0.563134109,59.7,27.1,13.2,60
333,4.319506733,2.599659578,1.155688698,0.564158456,60.2,26.8,13.1,60
334,4.319506733,2.599659578,1.155688698,0.564158456,60.2,26.8,13.1,60
335,4.319506733,2.599659578,1.155688698,0.564158456,60.2,26.8,13.1,60
336,4.369340834,2.64620053,1.155545799,0.567594505,60.6,26.4,13,60
337,4.369755132,2.646975665,1.155649205,0.567130263,60.6,26.4,13,60
338,4.42005263,2.696382838,1.154827955,0.568841838,61,26.1,12.9,60
339,4.420491371,2.697188966,1.154921319,0.568381086,61,26.1,12.9,60
340,4.468815343,2.744948226,1.15400327,0.569863847,61.4,25.8,12.8,60
341,4.479989304,2.754827175,1.153989764,0.571172365,61.5,25.8,12.7,60
342,4.54278349,2.819524698,1.152319009,0.570939784,62.1,25.4,12.6,60
343,4.549442758,2.828891242,1.154013117,0.566538399,62.2,25.4,12.5,60
344,4.558769629,2.840224656,1.154440576,0.564104397,62.3,25.3,12.4,60
345,4.66037061,2.94420125,1.148229508,0.567939853,63.2,24.6,12.2,60
346,4.673603149,2.960275136,1.14708202,0.566245993,63.3,24.5,12.1,60
347,4.738651933,3.026236845,1.143079478,0.569335609,63.9,24.1,12,60
348,4.754248087,3.044203715,1.140229963,0.569814409,64,24,12,60
349,4.814589486,3.105403558,1.135690409,0.573495519,64.5,23.6,11.9,60
350,4.835492686,3.12618376,1.133687097,0.575621828,64.7,23.4,11.9,60
351,4.889084321,3.180351616,1.130464888,0.578267817,65.1,23.1,11.8,60
352,4.906997221,3.201538881,1.127527102,0.577931239,65.2,23,11.8,60
