Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche 
190,1.123340729,0.234984912,0.384288656,0.50406716,20.9,34.2,44.9,50
191,1.125646822,0.235548396,0.384779152,0.505319274,20.9,34.2,44.9,50
192,1.130208593,0.241387627,0.381651634,0.507169333,21.4,33.8,44.9,50
193,1.130756849,0.241841615,0.380802636,0.508112598,21.4,33.7,44.9,50
194,1.135064837,0.246543164,0.377486879,0.511034794,21.7,33.3,45,50
195,1.136045866,0.246124105,0.377096819,0.512824942,21.7,33.2,45.1,50
196,1.136374149,0.245884364,0.376861051,0.513628734,21.6,33.2,45.2,50
197,1.139480869,0.251224544,0.372843221,0.515413103,22,32.7,45.2,50
198,1.139803991,0.251270182,0.372727159,0.51580665,22,32.7,45.3,50
199,1.142130733,0.25581305,0.369326803,0.516990879,22.4,32.3,45.3,50
200,1.135800337,0.256565011,0.368721698,0.510513629,22.6,32.5,44.9,50
201,1.136998728,0.261175239,0.365242142,0.510581346,23,32.1,44.9,50
202,1.138343612,0.260429721,0.365843228,0.512070662,22.9,32.1,45,50
203,1.140209572,0.265498808,0.361633688,0.513077076,23.3,31.7,45,50
204,1.141602627,0.266246461,0.361680006,0.51367616,23.3,31.7,45,50
205,1.142643183,0.266522001,0.361990779,0.514130403,23.3,31.7,45,50
206,1.145129417,0.27486739,0.354178191,0.516083836,24,30.9,45.1,50
207,1.145563331,0.274907105,0.354151386,0.51650484,24,30.9,45.1,50
208,1.148507718,0.288570756,0.341317926,0.518619036,25.1,29.7,45.2,50
209,1.148789757,0.288216843,0.341538729,0.519034185,25.1,29.7,45.2,50
210,1.152832803,0.312440788,0.318749302,0.521642713,27.1,27.6,45.2,50
211,1.166171997,0.318453082,0.326602528,0.521116386,27.3,28,44.7,50
212,1.167433802,0.330020697,0.315893302,0.521519802,28.3,27.1,44.7,50
213,1.167673836,0.329472092,0.316565338,0.521636406,28.2,27.1,44.7,50
214,1.167577749,0.329614578,0.316876716,0.521086455,28.2,27.1,44.6,50
215,1.163222102,0.339679662,0.307563699,0.515978741,29.2,26.4,44.4,50
216,1.162421598,0.3395023,0.307988301,0.514930998,29.2,26.5,44.3,50
217,1.156026489,0.35075906,0.298211104,0.507056325,30.3,25.8,43.9,50
218,1.159145006,0.351688576,0.299618263,0.507838167,30.3,25.8,43.8,50
219,1.158680044,0.364760912,0.289362314,0.504556817,31.5,25,43.5,50
220,1.160670978,0.364678712,0.290901017,0.50509125,31.4,25.1,43.5,50
221,1.161245737,0.374632677,0.284148736,0.502464325,32.3,24.5,43.3,50
222,1.164129811,0.375672277,0.284696552,0.503760981,32.3,24.5,43.3,50
223,1.16298861,0.389655714,0.273366106,0.49996679,33.5,23.5,43,50
224,1.167011211,0.390657785,0.274593087,0.50176034,33.5,23.5,43,50
225,1.173573751,0.392369379,0.275536874,0.505667497,33.4,23.5,43.1,50
226,1.178694673,0.410238168,0.262890825,0.505565679,34.8,22.3,42.9,50
227,1.185336728,0.412901864,0.263137605,0.509297259,34.8,22.2,43,50
