x_rounded,y_rounded,Epoch,Database,Site
10.15,48.6,Pleistocene,PACEA,Malerfels
10.15,53.650000000000006,Pleistocene,PACEA,Meiendorf
10.15,53.800000000000004,Holocene,CARD,Nahe LA 11
10.200000000000001,48.550000000000004,Pleistocene,RPDE,"Vogelherd, Lone Valley"
10.200000000000001,53.650000000000006,Pleistocene & Holocene,RPDE,Poggenwisch
10.350000000000001,55.150000000000006,Holocene,RPDE,Arreskov
10.350000000000001,56.75,Pleistocene,Lorenzen,Hadsund
10.600000000000001,48.85,Pleistocene,PACEA,Kaufertsberg
10.8,53.85,Holocene,PACEA,Lüdersdorf
10.8,56.35,Pleistocene,PACEA,Rosmos 1
10.850000000000001,49.400000000000006,Pleistocene,PACEA,Buttentalhöhle
10.850000000000001,51.75,Pleistocene,Lorenzen,Baumannshöhle
11.4,52.300000000000004,Pleistocene,PACEA,Teufelsküche
11.55,45.400000000000006,Pleistocene,PACEA,"Grotta di Paina, Mossano"
11.55,50.650000000000006,Pleistocene,PACEA,Kniegrotte
11.600000000000001,44.85,Pleistocene,Lorenzen,Settepolesini di Bodeno
11.600000000000001,50.85,Pleistocene,PACEA,"Oelknitz, Thuringia"
11.65,50.85,Pleistocene,PACEA,"Oelknitz, Thuringia"
11.75,48.95,Pleistocene & Holocene,PACEA,Kastlhanghöhle
11.8,48.95,Pleistocene,PACEA,Klausenhöhlen
11.850000000000001,48.900000000000006,Pleistocene,PACEA,Klausenhöhlen
12.15,49.050000000000004,Pleistocene,PACEA,Gönnersdorf
12.200000000000001,56,Pleistocene,Lorenzen,"Bannebjerg, Helsinge, N.SjŠlland"
12.350000000000001,55.5,Pleistocene,PACEA,Køge Bugt 1
12.350000000000001,56,Pleistocene,Lorenzen,Ostrupgard
12.55,54.150000000000006,Pleistocene & Holocene,RPDE,"Endingen, Nordvorpommern"
12.700000000000001,50.85,Pleistocene,RPDE,Oelknitz
13.200000000000001,55.6,Holocene,PACEA,Bara
13.3,55.6,Holocene,RPDE,Hässleberga H1:167
13.450000000000001,55.95,Holocene,PACEA,Mickelsmosse
13.5,55.75,Holocene,Lorenzen,Harlosa
14,45.75,Pleistocene,PACEA,Zupanov Spodmol
14,46.150000000000006,Pleistocene,PACEA,Divje babe I
14.65,46.45,Pleistocene,RPDE,Potocka zijalka
14.75,46.7,Pleistocene,EUROEVOL,Griffener Tropfsteinhöhle
15.350000000000001,47.2,Pleistocene,PACEA,Große Peggauerwandhöhle
15.350000000000001,47.25,Pleistocene,PACEA,Tunnelhöhle
15.4,48.300000000000004,Pleistocene,Lorenzen,Willendorf II
15.600000000000001,41.650000000000006,Pleistocene,PACEA,Grotta Paglicci
15.700000000000001,48.5,Pleistocene,Lorenzen,Schönberg am Kamp
16.1,48.7,Pleistocene,PACEA,Alberndorf
16.6,49.45,Pleistocene,RPDE,"Kulna Cave, Moravian Karst"
16.75,49.400000000000006,Holocene,PACEA,"Kulna 4, Moravie"
17.2,49.650000000000006,Pleistocene & Holocene,RPDE,"Kulna Cave, Moravian Karst"
17.75,59.2,Pleistocene,Lorenzen,Ronninge 1
17.95,50.050000000000004,Pleistocene,RPDE,Dzierżyslaw
18,50.050000000000004,Pleistocene & Holocene,RPDE,Dzierżyslaw
18.05,59.300000000000004,Pleistocene,Lorenzen,Dosebacka
18.1,46.85,Pleistocene,RPDE,"Sagvar, Balaton"
18.6,47.75,Pleistocene,PACEA,Mogyrosbanya
18.75,47.800000000000004,Pleistocene,RPDE,Esztergom-Gyurgyalag
19.400000000000002,50.2,Pleistocene,PACEA,Grotte de Maszyce
19.450000000000003,50.5,Pleistocene,RPDE,Deszczowa Cave
19.75,50.2,Pleistocene,RPDE,Nietoperzowa cave
19.8,50.150000000000006,Pleistocene & Holocene,RPDE,Mamutowa cave
19.900000000000002,50.050000000000004,Pleistocene,PACEA,"Kraków Spadzisda B ""Workshops"""
19.900000000000002,50.1,Pleistocene,Lorenzen,Mammoth cave
19.950000000000003,50.050000000000004,Pleistocene,Lorenzen,"Kraków, Spadzista Street"
20.05,47.1,Pleistocene,RPDE,Jaszfelsosentgyorgy-Szekesdulo
20.150000000000002,49.400000000000006,Pleistocene,Lorenzen,Oblazowa Cave
20.5,50.85,Pleistocene,Lorenzen,Raj cave
20.55,48,Pleistocene,PACEA,Balla Cave
20.75,40.050000000000004,Pleistocene,PACEA,"Klithi, Konitsa plain, Zagori"
20.900000000000002,39.650000000000006,Pleistocene,PACEA,Kastritsa
21.400000000000002,55.300000000000004,Pleistocene,Lorenzen,Viliya River (Neman)
21.8,45.050000000000004,Pleistocene,RPDE,Peştera cu Oase Cave
22.05,44.550000000000004,Holocene,RPDE,Lepenski Vir S47
22.25,43.6,Pleistocene,RPDE,Baranica Cave
23.1,45.6,Pleistocene,PACEA,Pestera Cioclovina Uscata
23.5,63.800000000000004,Pleistocene,Lorenzen,Lohtaja
23.75,45.2,Pleistocene,RPDE,"Pestera Muierii, Baia de Fier"
24,49.85,Pleistocene,PACEA,Sagaidak I
24.950000000000003,60.45,Pleistocene & Holocene,RPDE,Espoo
25,63.550000000000004,Pleistocene,Stage 3,Haapajari
25.200000000000003,60.400000000000006,Pleistocene,Lorenzen,"Helsinki, Toolo"
25.400000000000002,60.35,Pleistocene,Lorenzen,"Helsinki, Herttoniemi"
25.85,65.10000000000001,Pleistocene,Stage 3,Lijoki
26.85,48.2,Pleistocene,PACEA,"Coto Miculinti, Cotuska"
27,46,Pleistocene,PACEA,"Garla Mare, Cotu Mieulinti"
27,48,Pleistocene,RPDE,"Crasnaleuca, Cotusca"
27.150000000000002,48.1,Pleistocene,Lorenzen,Brinzena
27.150000000000002,48.25,Pleistocene,Lorenzen,Ciuntu
27.450000000000003,48.45,Pleistocene,Lorenzen,Molodovo
27.5,56.6,Pleistocene,Lorenzen,Leski
27.6,48.300000000000004,Pleistocene,PACEA,Basarabia
28.3,48.25,Pleistocene,PACEA,Cosauti
28.35,48.2,Pleistocene,RPDE,Kosautsy/Cosautsi/Cosaoutsy
28.6,45.800000000000004,Pleistocene,Lorenzen,"Kirillovka, site in Kiev"
28.6,62.85,Pleistocene,Lorenzen,"Nilsia, Syvari"
28.700000000000003,53.800000000000004,Pleistocene,Lorenzen,Yudinovo
29.25,50.550000000000004,Pleistocene,Lorenzen,Randomyshl
30.950000000000003,52.85,Pleistocene,Lorenzen,"Berdyzh, east bank of Sozh river, 500 m south of Podluzhye"
31.1,47.650000000000006,Pleistocene,Lorenzen,Anetovka
31.1,59.1,Pleistocene,Lorenzen,Lyuban'
31.400000000000002,49.650000000000006,Pleistocene,Lorenzen,Mezhirich
32,54.800000000000004,Pleistocene,Lorenzen,Smolensk Region
32.050000000000004,49.45,Pleistocene,CARD,"Mezhirich, Mezhiritch, Mezeritch, Mejeriche, Mejiriche"
32.65,50.050000000000004,Pleistocene,PACEA,Dobranichevka
32.800000000000004,50.150000000000006,Pleistocene,PACEA,Gontsy
33,43,Pleistocene,Lorenzen,"Kostyonki Site, near Voronezh"
33.1,51.75,Pleistocene,Lorenzen,Mezin
33.1,51.85,Pleistocene,PACEA,"Chulatovo I, northern bank of Desna river"
33.2,52.150000000000006,Pleistocene,Lorenzen,Pogon
33.25,52,Pleistocene,Lorenzen,Novgorod-Severskii
33.300000000000004,52.650000000000006,Pleistocene,PACEA,Yudinkovka
33.6,53.150000000000006,Pleistocene,RPDE,Eliseevichi
33.75,53.2,Pleistocene,PACEA,Eliseevichi
34,45,Holocene,RPDE,"Abri San-Koba, Krim"
34.1,53.35,Pleistocene,Lorenzen,Khotylevo II
34.300000000000004,53.2,Pleistocene,Lorenzen,Khotylevo II
34.35,53.35,Pleistocene,Lorenzen,Timonovka I
34.5,52.150000000000006,Pleistocene,RPDE,Sevsk
35.5,51.75,Pleistocene,PACEA,Avdeevo
35.95,51.050000000000004,Pleistocene,PACEA,"Peny II, Kursk Region"
38,50,Pleistocene,Lorenzen,"Sungir', Vladimir Region"
39,51.300000000000004,Pleistocene & Holocene,Lorenzen,Kostienki VIII [Tel'manskaya site]
39,51.400000000000006,Pleistocene & Holocene,PACEA,Kostenki 2
39.050000000000004,51.35,Pleistocene,PACEA,Kostienki VI
39.050000000000004,51.400000000000006,Pleistocene,Lorenzen,Kostenki
39.45,55.25,Pleistocene,Lorenzen,Zaraisk
40.5,56.150000000000006,Pleistocene,Lorenzen,Sungir' [Vladimir]
40.5,56.2,Pleistocene,RPDE,Kostenki
40.85,58,Pleistocene,Lorenzen,Ustye River
41.5,53,Pleistocene,Lorenzen,Tsna R.
42.150000000000006,56.300000000000004,Pleistocene,Lorenzen,"Vladimir Region, Vyazniki"
42.75,60,Pleistocene,Lorenzen,"Vologda Region, Tot'ma District, Sukhona R. tributary'"
43.7,58.6,Pleistocene,Lorenzen,Name not given
44.800000000000004,54.6,Pleistocene,Lorenzen,Irset R.
48.050000000000004,80.80000000000001,Holocene,Lorenzen,"Alexander Island, Frans Josef Land"
49.1,54,Pleistocene,Lorenzen,"Cheremshan R., Tunguz Peninsula"
51.300000000000004,53.050000000000004,Pleistocene,Lorenzen,Bogatoe
53.25,56.85,Pleistocene,Lorenzen,Lower Kama River
53.800000000000004,56.45,Pleistocene,Lorenzen,Sarapul
55.550000000000004,55.400000000000006,Pleistocene,Lorenzen,Birsk
55.900000000000006,54.900000000000006,Pleistocene,CARD,"Gornovo, Gornova"
57.400000000000006,65,Pleistocene,Lorenzen,Byzovaya
57.45,59.25,Pleistocene,Lorenzen,Urals Central
57.45,65,Pleistocene & Holocene,RPDE,Byzovaya
57.650000000000006,60.550000000000004,Pleistocene,Lorenzen,Ural Chusovaya river
57.75,59.400000000000006,Pleistocene,Lorenzen,"Urals (middle),Tayn Cave"
58,61.6,Pleistocene,Lorenzen,Medvezhya Cave
58.150000000000006,58.2,Pleistocene,RPDE,"Grotto Kumishsky, Urals"
58.150000000000006,62.050000000000004,Pleistocene,Lorenzen,"Medvezhya Cave, Urals"
58.2,58.150000000000006,Pleistocene,RPDE,Kumyshanskaya Cave
58.650000000000006,62,Pleistocene & Holocene,Lorenzen,Medvezhya Cave
59,57.6,Holocene,Lorenzen,Urals Central
61.400000000000006,54.1,Pleistocene,Lorenzen,Troitskaya
62.2,59.25,Pleistocene,Lorenzen,"West Siberia, southwest"
62.25,59.400000000000006,Pleistocene,RPDE,Berezovy Mys
62.25,59.5,Pleistocene,RPDE,Lyzhin Mys
62.300000000000004,59.35,Pleistocene,RPDE,Demin Mys
62.300000000000004,59.400000000000006,Pleistocene,RPDE,Evalga
62.300000000000004,59.5,Pleistocene,RPDE,Balakina
62.35,59.400000000000006,Pleistocene & Holocene,RPDE,OLP
62.35,59.45,Pleistocene,RPDE,Neftebaza
62.400000000000006,59.300000000000004,Pleistocene,RPDE,Berezovy Mys
62.400000000000006,66.55,Pleistocene,CARD,Mamontovaya Kur'ya - Mamontova Kur'ya
65.9,56,Pleistocene,RPDE,Shikaevka 2
66.2,57.7,Pleistocene,Lorenzen,Tavda River
66.5,71,Pleistocene,Lorenzen,Yamal Peninsula
67,66,Pleistocene,Lorenzen,430th KM
68.55,61.050000000000004,Pleistocene,RPDE,Lugovskoye
69,58,Pleistocene,Lorenzen,"West Siberia, center"
69.10000000000001,68.15,Holocene,Lorenzen,Yamal
